Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),681322,612687,298379,382832,325760,137419,139,68,8.4,3,51,71236,301078,143509,165441,564042,107223,4066512
RVD - Bro Morgannwg NHS Trust,57451,53062,24551,32900,24140,10078,86,36,9.1,2,53,4001,26178,12465,14806,43855,13596,349438
RWM - Cardiff & Vale NHS Trust,98318,96831,43144,55173,46858,21618,222,99,7.1,2,44,17397,46303,17040,17564,82137,16181,554114
RVA - Carmarthenshire NHS Trust ,38618,36547,17388,21230,18307,11969,100,48,7.8,3,55,2722,16629,9366,9900,29494,9124,213489
RKU - Ceredigion and Mid Wales NHS Trust,13047,11461,5815,7232,6212,3205,122,57,6.4,2,55,1155,5061,2849,3982,10864,2183,60240
RT8 - Conwy and Denbighshire NHS Trust,61053,54320,25728,35304,27829,12639,93,61,7.2,2,54,5102,25625,14203,16112,49196,11857,285915
RVF - Gwent Healthcare NHS Trust ,113149,101447,48627,64498,58330,23942,154,84,10.2,3,52,9572,51570,23478,28529,87346,15981,710010
RT9 - North East Wales NHS Trust,46676,38940,21053,25611,22077,8860,129,72,8.0,3,53,4550,20063,9920,12135,40536,6140,268129
RRS - North Glamorgan NHS Trust,33266,28649,14804,18462,19994,4007,115,62,8.2,2,48,4777,14479,6499,7501,30509,2757,213747
RT7 - North West Wales NHS Trust,50305,41036,22614,27638,22828,6410,83,55,9.0,3,55,4090,20206,11093,14915,43193,6986,342623
RR6 - Pembrokeshire and Derwen NHS Trust,24901,21935,10762,14139,14221,4708,187,98,10.6,3,52,1914,11725,5474,5787,22092,2719,172900
RVE - Pontypridd and Rhondda NHS Trust,46381,37579,19520.0,26861,17882,9868,105,55,7.8,2,51,4938,19981,9684,11774,40342,6020,249853
6C4 - Powys LHB,7700,7164,3170,4530,4672,973,110,81,19.6,7,70,21,1944,1562,4173,6940,760,128833
RVC - Swansea NHS Trust,87944,81203,40082,47862,40972,19142,144,70,7.4,2,49,10997,40138,18901,17901,75262,12682,499136
RQF - Velindre NHS Trust,2513,2513,1121,1392,1438,?,?,?,7.9,4,58,-,1176,975,362,2276,237,18085
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
