LHB Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting list,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age75+,Inpatient,Daycase,Beddays
Total Episodes,"1,008,348","827,369","447,118","561,199","394,905","312,774",119.6,46.0,6.6,1.0,53.6,"98,884","409,332","235,198","264,903","722,247","269,654","3,458,628"
Abertawe Bro Morgannwg University LHB,"193,891","158,962","86,447","107,443","70,116","56,953",102.2,50.0,6.5,1.0,52.3,"18,954","82,872","44,552","47,513","143,436","50,455","689,165"
Aneurin Bevan University Local Health Board,"241,555","169,471","102,598","138,954","89,068","56,020",76.5,35.0,5.6,1.0,53.2,"21,847","103,902","51,791","64,015","195,579","45,976","606,197"
Betsi Cadwaladr University Local Health Board,"191,726","166,324","85,492","106,229","86,863","59,695",264.5,85.0,6.8,2.0,56.2,"16,604","70,835","46,408","57,879","126,893","53,004","697,967"
Cardiff and Vale University Local Health Board,"140,525","130,234","63,189","77,327","50,347","54,351",90.3,47.0,7.5,1.0,48.4,"18,867","64,803","29,458","27,366","94,042","46,483","621,343"
Cwm Taf LHB,"105,935","82,128","47,550","58,375","49,429","25,311",87.3,49.0,6.2,1.0,52.5,"12,795","42,003","24,409","26,728","82,216","19,106","365,393"
Hywel Dda University Local Health Board,"119,639","105,209","55,756","63,883","47,001","49,609",82.3,35.0,6.7,2.0,58.1,"9,817","39,476","32,696","37,650","75,883","43,756","406,480"
Powys Teaching Local Health Board,"4,796","4,760","2,121","2,675",459,"3,124",93.8,54.0,33.9,19.0,68.1,0,"1,323","1,365","2,108","1,904","2,892","63,401"
Velindre NHS Trust,"10,281","10,281","3,965","6,313","1,622","7,711",0.1,0.0,3.8,1.0,61.8,0,"4,118","4,519","1,644","2,294","7,982","8,682"
Wales,"1,008,348","827,369","447,118","561,199","394,905","312,774",119.6,46.0,6.6,1.0,53.6,"98,884","409,332","235,198","264,903","722,247","269,654","3,458,628"
