,,,,All ages ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All ages 
,,,,Aged 0 to 15 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 0 to 15 ,Aged 16 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 16 to 64 ,Aged 65 and over ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 65 and over ,.
,,,,Aged 0 to 4 ,.,.,.,.,Aged 0 to 4 ,Aged 5 to 15 ,.,.,.,.,.,.,.,.,.,.,Aged 5 to 15 ,.,Aged 16 to 24 ,.,.,.,.,.,.,.,.,Aged 16 to 24 ,Aged 25 to 44 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 25 to 44 ,Aged 45 to 64 ,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aged 45 to 64 ,.,Aged 65 to 74 ,.,.,.,.,.,.,.,.,.,Aged 65 to 74 ,Aged 75 to 84 ,.,.,.,.,.,.,.,.,.,Aged 75 to 84 ,Aged 85 and over ,.,.,.,.,.,Aged 85 and over ,.,.
,,,,Aged 0 ,Aged 1 ,Aged 2 ,Aged 3 ,Aged 4 ,.,Aged 5 ,Aged 6 ,Aged 7 ,Aged 8 ,Aged 9 ,Aged 10 ,Aged 11 ,Aged 12 ,Aged 13 ,Aged 14 ,Aged 15 ,.,.,Aged 16 ,Aged 17 ,Aged 18 ,Aged 19 ,Aged 20 ,Aged 21 ,Aged 22 ,Aged 23 ,Aged 24 ,.,Aged 25 ,Aged 26 ,Aged 27 ,Aged 28 ,Aged 29 ,Aged 30 ,Aged 31 ,Aged 32 ,Aged 33 ,Aged 34 ,Aged 35 ,Aged 36 ,Aged 37 ,Aged 38 ,Aged 39 ,Aged 40 ,Aged 41 ,Aged 42 ,Aged 43 ,Aged 44 ,.,Aged 45 ,Aged 46 ,Aged 47 ,Aged 48 ,Aged 49 ,Aged 50 ,Aged 51 ,Aged 52 ,Aged 53 ,Aged 54 ,Aged 55 ,Aged 56 ,Aged 57 ,Aged 58 ,Aged 59 ,Aged 60 ,Aged 61 ,Aged 62 ,Aged 63 ,Aged 64 ,.,.,Aged 65 ,Aged 66 ,Aged 67 ,Aged 68 ,Aged 69 ,Aged 70 ,Aged 71 ,Aged 72 ,Aged 73 ,Aged 74 ,.,Aged 75 ,Aged 76 ,Aged 77 ,Aged 78 ,Aged 79 ,Aged 80 ,Aged 81 ,Aged 82 ,Aged 83 ,Aged 84 ,.,Aged 85 ,Aged 86 ,Aged 87 ,Aged 88 ,Aged 89 ,Aged 90 and over ,.,.,.
United Kingdom ,Great Britain ,Wales ,,33542,33969,34941,36293,37177,175922,36518,36056,36765,35472,34992,33823,32833,32317,32334,33646,34611,379367,555289,35901,36698,38798,39983,41411,43682,42982,42929,43210,365594,41210,40045,39028,37694,37078,37149,35821,36227,35810,36958,37102,35202,32634,32769,32968,34264,35397,37639,40293,42289,737577,41060,43073,42581,43734,43651,44899,44991,43767,43629,42371,40953,40419,39750,38789,37264,36413,37493,37476,36536,37004,815853,1919024,38172,39064,41353,43589,33508,33171,32761,30795,28164,25520,346097,24985,24416,23476,21840,20724,19561,17951,16860,15399,14163,199375,12854,11156,9828,8805,7596,29062,79301,624773,3099086
,,Wales ,Isle of Anglesey ,680,765,814,817,828,3904,811,805,812,733,733,663,715,691,681,700,738,8082,11986,741,744,776,584,623,614,691,738,808,6319,884,784,774,789,686,701,711,718,730,717,771,731,677,617,680,679,747,872,834,990,15092,878,963,912,963,955,982,987,997,940,1010,1009,1000,967,930,996,932,988,918,946,1001,19274,40685,1063,1087,1122,1222,920,979,961,886,756,672,9668,695,728,672,573,547,534,471,435,407,375,5437,329,311,266,283,179,792,2160,17265,69936
,,,Gwynedd ,1143,1235,1294,1393,1339,6404,1369,1399,1368,1418,1429,1272,1195,1198,1263,1269,1321,14501,20905,1258,1356,1574,2143,2418,2500,2227,1836,1761,17073,1674,1557,1353,1366,1229,1217,1106,1231,1251,1259,1273,1192,1062,1089,1135,1200,1321,1482,1469,1547,26013,1549,1509,1550,1609,1646,1672,1653,1659,1634,1651,1528,1539,1592,1554,1494,1392,1468,1495,1484,1468,31146,74232,1527,1714,1733,1848,1534,1387,1478,1380,1211,1041,14853,1052,1048,990,965,859,830,835,774,728,693,8774,608,549,505,423,366,1420,3871,27498,122635
,,,Conwy ,1100,1084,1168,1210,1207,5769,1243,1214,1207,1191,1222,1156,1179,1105,1099,1223,1303,13142,18911,1314,1354,1361,1048,997,1011,1062,1160,1259,10566,1198,1241,1260,1156,1123,1089,1132,1073,1132,1166,1165,1110,1042,1066,1084,1110,1143,1270,1513,1587,23660,1498,1594,1576,1609,1705,1769,1787,1735,1653,1664,1708,1712,1604,1568,1486,1427,1648,1562,1489,1611,32405,66631,1651,1764,1953,2029,1586,1557,1468,1479,1402,1233,16122,1178,1214,1123,1082,1090,1020,925,902,822,738,10094,732,643,576,519,441,1781,4692,30908,116450
,,,Denbighshire ,1053,1080,1072,1050,1203,5458,1132,1091,1158,1074,1074,1060,974,998,1034,1067,1032,11694,17152,1169,1165,1091,941,830,997,1070,1112,1118,9493,1108,1141,1022,1047,974,858,892,884,847,880,958,950,833,892,1000,1066,1046,1049,1270,1249,19966,1252,1369,1305,1408,1350,1394,1449,1423,1413,1332,1363,1265,1234,1218,1191,1242,1213,1211,1230,1302,26164,55623,1352,1421,1531,1547,1189,1155,1226,1111,948,992,12472,875,844,830,804,721,651,619,561,546,506,6957,460,388,349,316,228,891,2632,22061,94836
,,,Flintshire ,1566,1674,1724,1768,1865,8597,1959,1830,2016,1925,1749,1818,1696,1627,1700,1734,1734,19788,28385,1859,1813,1821,1539,1569,1548,1624,1810,1985,15568,1842,1869,1950,1966,1743,1796,1719,1737,1789,1782,1811,1681,1704,1673,1671,1760,1817,2062,2277,2343,36992,2296,2375,2260,2302,2288,2417,2427,2213,2234,2200,2044,2082,1919,1887,1836,1801,1856,1892,1828,1999,42156,94716,1994,2062,2202,2404,1726,1686,1726,1538,1404,1305,18047,1277,1240,1208,1092,953,897,804,721,712,615,9519,566,519,424,352,321,1236,3418,30984,154085
