,Admissions,FCE 0-14,FCE 15-59,FCE 60-74,FCE 75+,Beddays,Daycase,Emergency,Female,Finished Consultant Episodes,Inpatient,LHB Provider,Male,Mean Age,Mean Length of Stay,Mean Waiting Time,Period,Waiting List,Year,Population 0-14,Population 15-59,Population 60-74,Population 75+,Population Total,Region
0,95884.0,10516.0,49696.0,21161.0,21997.0,607789.0,17173.0,50066.0,59093.0,103372.0,86199.0,Aneurin Bevan University Local Health Board,44220.0,49.0,12.3,117.0,0,26520.0,1999/2000,112719.0,320893.0,77070.0,31418.0,542100.0,South Wales
19,169471.0,21847.0,103902.0,51791.0,64015.0,606197.0,45976.0,89068.0,138954.0,241555.0,195579.0,Aneurin Bevan University Local Health Board,102598.0,53.2,5.6,76.5,19,56020.0,2018/2019,103905.0,334764.0,100114.0,52442.0,591225.0,South Wales
18,162729.0,19717.0,101136.0,49568.0,61915.0,597446.0,44880.0,84298.0,135516.0,232337.0,187457.0,Aneurin Bevan University Local Health Board,96819.0,53.4,5.0,77.4,18,54974.0,2017/2018,103105.0,334140.0,99187.0,51311.0,587743.0,South Wales
17,153396.0,19658.0,92237.0,46074.0,57056.0,622459.0,41915.0,79404.0,125266.0,215026.0,173111.0,Aneurin Bevan University Local Health Board,89759.0,53.039981000000004,5.510572045,80.35070872,17,52280.0,2016/2017,102085.0,334291.0,98257.0,50198.0,584831.0,South Wales
16,150077.0,19461.0,91291.0,45165.0,54712.0,615146.0,41393.0,76648.0,123260.0,210631.0,169238.0,Aneurin Bevan University Local Health Board,87371.0,52.7,5.6,85.1,16,51757.0,2015/2016,101538.0,334107.0,97175.0,49425.0,582245.0,South Wales
15,141437.0,18794.0,84117.0,41967.0,50977.0,630001.0,39269.0,74348.0,113993.0,195855.0,156586.0,Aneurin Bevan University Local Health Board,81860.0,52.6,6.0,89.5,15,49367.0,2014/2015,101337.0,334121.0,96535.0,48801.0,580794.0,South Wales
13,134469.0,16410.0,81357.0,39689.0,48926.0,614534.0,38055.0,68382.0,108202.0,186382.0,148327.0,Aneurin Bevan University Local Health Board,78178.0,52.9,6.3,96.5,13,48525.0,2012/2013,101871.0,334789.0,94160.0,47358.0,578178.0,South Wales
12,92552.0,8639.0,39026.0,26643.0,29973.0,427695.0,32170.0,44539.0,57096.0,104281.0,68176.0,Aneurin Bevan University Local Health Board,47185.0,56.0,8.0,85.0,12,41979.0,2011/2012,102779.0,334620.0,93000.0,46678.0,577077.0,South Wales
11,91981.0,8471.0,38536.0,26471.0,28972.0,447084.0,32204.0,43876.0,55802.0,102450.0,66342.0,Aneurin Bevan University Local Health Board,46642.0,56.0,8.7,86.0,11,41660.0,2010/2011,102721.0,334311.0,91796.0,45950.0,574778.0,South Wales
10,87170.0,7151.0,37840.0,25495.0,26234.0,409669.0,32890.0,36690.0,53310.0,96720.0,59821.0,Aneurin Bevan University Local Health Board,43407.0,56.0,8.5,82.1,10,42315.0,2009/2010,102973.0,334249.0,90085.0,45211.0,572518.0,South Wales
